ZANSKAR_ID,TOKEN,CATEGORY,EXCH_TICKER,ZANSKAR_NAME,DERIVATIVE_TYPE,EXPIRY_DATE,EXPIRY_EXCHANGE,EXPIRY_TAG,UNDERLYING_ASSET,STREAM_ID,STRIKE_PRICE,LOT_SIZE,TICK_SIZE,PREV_HIGH_PRICE_RANGE,PREV_LOW_PRICE_RANGE,PREV_HIGH,PREV_LOW,PREV_CLOSE,PREV_LAST,PREV_SETTLEMENT,PREV_OPEN_INTEREST,UNDERLYING_PREV_CLOSE,ISIN,SERIES
43,108013,STOCKS,ALEMBICLTD,STOCK_ALEMBICLTD_MSE.CM.BE,STOCK,N/A,0,N/A,ALEMBICLTD,1,,1,5,4775.0,3185.0,0.0,0.0,99.0,0.0,99.0,0,97.7,INE426A01027,BE
44,101690,STOCKS,ALICON,STOCK_ALICON_MSE.CM.EQ,STOCK,N/A,0,N/A,ALICON,1,,1,5,108860.0,72580.0,0.0,0.0,844.55,0.0,844.55,0,842.95,INE062D01024,EQ
45,101693,STOCKS,ALKALI,STOCK_ALKALI_MSE.CM.EQ,STOCK,N/A,0,N/A,ALKALI,1,,1,5,12100.0,8070.0,0.0,0.0,78.0,0.0,78.0,0,77.05,INE773I01017,EQ
46,104751,STOCKS,ALKALI,STOCK_ALKALI_MSE.CM.BE,STOCK,N/A,0,N/A,ALKALI,1,,1,5,12610.0,8410.0,0.0,0.0,78.0,0.0,78.0,0,77.05,INE773I01017,BE
47,101694,STOCKS,ALLCARGO,STOCK_ALLCARGO_MSE.CM.EQ,STOCK,N/A,0,N/A,ALLCARGO,1,,1,5,3650.0,2440.0,0.0,0.0,12.05,0.0,12.05,0,12.5,INE418H01029,EQ
48,110014,STOCKS,ALLCARGO,STOCK_ALLCARGO_MSE.CM.BE,STOCK,N/A,0,N/A,ALLCARGO,1,,1,5,33730.0,22490.0,0.0,0.0,12.05,0.0,12.05,0,12.5,INE418H01029,BE
49,101698,STOCKS,ALMONDZ,STOCK_ALMONDZ_MSE.CM.EQ,STOCK,N/A,0,N/A,ALMONDZ,1,,1,5,2315.0,1895.0,0.0,0.0,15.5,0.0,15.5,0,15.3,INE326B01035,EQ
50,104730,STOCKS,ALMONDZ,STOCK_ALMONDZ_MSE.CM.BE,STOCK,N/A,0,N/A,ALMONDZ,1,,1,5,3380.0,2770.0,0.0,0.0,15.5,0.0,15.5,0,15.3,INE326B01035,BE
51,101703,STOCKS,GVT&D,STOCK_GVT&D_MSE.CM.EQ,STOCK,N/A,0,N/A,GVT&D,1,,1,5,228095.0,186625.0,0.0,0.0,2998.6,0.0,2998.6,0,2906.8,INE200A01026,EQ
52,110020,STOCKS,GVT&D,STOCK_GVT&D_MSE.CM.BE,STOCK,N/A,0,N/A,GVT&D,1,,1,5,214050.0,175140.0,0.0,0.0,2998.6,0.0,2998.6,0,2906.8,INE200A01026,BE
53,101708,STOCKS,ARE&M,STOCK_ARE&M_MSE.CM.EQ,STOCK,N/A,0,N/A,ARE&M,1,,1,5,125980.0,83990.0,0.0,0.0,931.25,0.0,931.25,0,945.15,INE885A01032,EQ
54,101712,STOCKS,AMBIKCO,STOCK_AMBIKCO_MSE.CM.EQ,STOCK,N/A,0,N/A,AMBIKCO,1,,1,5,187245.0,124835.0,0.0,0.0,1272.4,0.0,1272.4,0,1248.6,INE540G01014,EQ
55,101713,STOCKS,AMBUJACEM,STOCK_AMBUJACEM_MSE.CM.EQ,STOCK,N/A,0,N/A,AMBUJACEM,1,,1,5,62385.0,51045.0,0.0,0.0,536.1,0.0,536.1,0,529.7,INE079A01024,EQ
56,101722,STOCKS,ANANTRAJ,STOCK_ANANTRAJ_MSE.CM.EQ,STOCK,N/A,0,N/A,ANANTRAJ,1,,1,5,62670.0,41780.0,0.0,0.0,504.9,0.0,504.9,0,508.9,INE242C01024,EQ
57,108302,STOCKS,ANANTRAJ,STOCK_ANANTRAJ_MSE.CM.BE,STOCK,N/A,0,N/A,ANANTRAJ,1,,1,5,8130.0,5420.0,0.0,0.0,504.9,0.0,504.9,0,508.9,INE242C01024,BE
58,101731,STOCKS,ANDHRSUGAR,STOCK_ANDHRSUGAR_MSE.CM.EQ,STOCK,N/A,0,N/A,ANDHRSUGAR,1,,1,5,9170.0,6120.0,0.0,0.0,76.25,0.0,76.25,0,76.4,INE715B01021,EQ
59,101733,STOCKS,ANIKINDS,STOCK_ANIKINDS_MSE.CM.EQ,STOCK,N/A,0,N/A,ANIKINDS,1,,1,5,13720.0,12420.0,0.0,0.0,53.2,0.0,53.2,0,52.45,INE087B01017,EQ
60,104581,STOCKS,ANIKINDS,STOCK_ANIKINDS_MSE.CM.BE,STOCK,N/A,0,N/A,ANIKINDS,1,,1,5,11695.0,10585.0,0.0,0.0,53.2,0.0,53.2,0,52.45,INE087B01017,BE
61,101738,STOCKS,ANSALAPI,STOCK_ANSALAPI_MSE.CM.EQ,STOCK,N/A,0,N/A,ANSALAPI,1,,1,5,2305.0,2215.0,0.0,0.0,3.4,0.0,3.4,0,3.35,INE436A01026,EQ
62,110052,STOCKS,ANSALAPI,STOCK_ANSALAPI_MSE.CM.BZ,STOCK,N/A,0,N/A,ANSALAPI,1,,1,5,420.0,410.0,0.0,0.0,3.4,0.0,3.4,0,3.35,INE436A01026,BZ
63,104778,STOCKS,ANSALAPI,STOCK_ANSALAPI_MSE.CM.BE,STOCK,N/A,0,N/A,ANSALAPI,1,,1,5,1000.0,970.0,0.0,0.0,3.4,0.0,3.4,0,3.35,INE436A01026,BE
64,101745,STOCKS,APARINDS,STOCK_APARINDS_MSE.CM.EQ,STOCK,N/A,0,N/A,APARINDS,1,,1,5,838420.0,685980.0,0.0,0.0,8987.0,0.0,8987.0,0,8815.5,INE372A01015,EQ
65,101746,STOCKS,APCOTEXIND,STOCK_APCOTEXIND_MSE.CM.EQ,STOCK,N/A,0,N/A,APCOTEXIND,1,,1,5,42965.0,28645.0,0.0,0.0,368.5,0.0,368.5,0,372.0,INE116A01032,EQ
66,101749,STOCKS,APLAPOLLO,STOCK_APLAPOLLO_MSE.CM.EQ,STOCK,N/A,0,N/A,APLAPOLLO,1,,1,5,202210.0,165450.0,0.0,0.0,1723.0,0.0,1723.0,0,1736.0,INE702C01027,EQ
67,101752,STOCKS,APLLTD,STOCK_APLLTD_MSE.CM.EQ,STOCK,N/A,0,N/A,APLLTD,1,,1,5,118740.0,79160.0,0.0,0.0,885.1,0.0,885.1,0,883.35,INE901L01018,EQ
68,101756,STOCKS,APOLLOHOSP,STOCK_APOLLOHOSP_MSE.CM.EQ,STOCK,N/A,0,N/A,APOLLOHOSP,1,,1,5,780615.0,638685.0,0.0,0.0,7009.5,0.0,7009.5,0,7018.5,INE437A01024,EQ
69,101758,STOCKS,APOLLOTYRE,STOCK_APOLLOTYRE_MSE.CM.EQ,STOCK,N/A,0,N/A,APOLLOTYRE,1,,1,5,54465.0,44565.0,0.0,0.0,514.1,0.0,514.1,0,520.75,INE438A01022,EQ
70,101760,STOCKS,ANDHRAPAP,STOCK_ANDHRAPAP_MSE.CM.EQ,STOCK,N/A,0,N/A,ANDHRAPAP,1,,1,5,9590.0,6400.0,0.0,0.0,66.45,0.0,66.45,0,65.8,INE435A01051,EQ
71,101763,STOCKS,APTECHT,STOCK_APTECHT_MSE.CM.EQ,STOCK,N/A,0,N/A,APTECHT,1,,1,5,20025.0,13355.0,0.0,0.0,98.0,0.0,98.0,0,99.0,INE266F01018,EQ
