ZANSKAR_ID,TOKEN,CATEGORY,EXCH_TICKER,ZANSKAR_NAME,DERIVATIVE_TYPE,EXPIRY_DATE,EXPIRY_EXCHANGE,EXPIRY_TAG,UNDERLYING_ASSET,STREAM_ID,STRIKE_PRICE,LOT_SIZE,TICK_SIZE,PREV_HIGH_PRICE_RANGE,PREV_LOW_PRICE_RANGE,PREV_HIGH,PREV_LOW,PREV_CLOSE,PREV_LAST,PREV_SETTLEMENT,PREV_OPEN_INTEREST,UNDERLYING_PREV_CLOSE,ISIN,SERIES
698,104819,STOCKS,RANEHOLDIN,STOCK_RANEHOLDIN_MSE.CM.BE,STOCK,N/A,0,N/A,RANEHOLDIN,1,,1,5,48060.0,32040.0,0.0,0.0,1447.5,0.0,1447.5,0,1399.4,INE384A01010,BE
699,102426,STOCKS,HEXATRADEX,STOCK_HEXATRADEX_MSE.CM.EQ,STOCK,N/A,0,N/A,HEXATRADEX,1,,1,5,20920.0,17120.0,0.0,0.0,163.1,0.0,163.1,0,162.25,INE750M01017,EQ
700,104666,STOCKS,HEXATRADEX,STOCK_HEXATRADEX_MSE.CM.BE,STOCK,N/A,0,N/A,HEXATRADEX,1,,1,5,29990.0,24540.0,0.0,0.0,163.1,0.0,163.1,0,162.25,INE750M01017,BE
701,102919,STOCKS,RATNAMANI,STOCK_RATNAMANI_MSE.CM.EQ,STOCK,N/A,0,N/A,RATNAMANI,1,,1,5,352450.0,234970.0,0.0,0.0,2308.2,0.0,2308.2,0,2354.0,INE703B01027,EQ
702,102185,STOCKS,FORTIS,STOCK_FORTIS_MSE.CM.EQ,STOCK,N/A,0,N/A,FORTIS,1,,1,5,84980.0,56660.0,0.0,0.0,915.45,0.0,915.45,0,914.75,INE061F01013,EQ
703,104869,STOCKS,NAHARSPING,STOCK_NAHARSPING_MSE.CM.BE,STOCK,N/A,0,N/A,NAHARSPING,1,,1,5,47465.0,31645.0,0.0,0.0,194.6,0.0,194.6,0,194.55,INE290A01027,BE
704,102261,STOCKS,NAHARSPING,STOCK_NAHARSPING_MSE.CM.EQ,STOCK,N/A,0,N/A,NAHARSPING,1,,1,5,34550.0,23040.0,0.0,0.0,194.6,0.0,194.6,0,194.55,INE290A01027,EQ
705,110492,STOCKS,RAYMOND,STOCK_RAYMOND_MSE.CM.BE,STOCK,N/A,0,N/A,RAYMOND,1,,1,5,65875.0,59605.0,0.0,0.0,430.15,0.0,430.15,0,436.5,INE301A01014,BE
706,102922,STOCKS,RAYMOND,STOCK_RAYMOND_MSE.CM.EQ,STOCK,N/A,0,N/A,RAYMOND,1,,1,5,164250.0,148610.0,0.0,0.0,430.15,0.0,430.15,0,436.5,INE301A01014,EQ
707,108275,STOCKS,NDL,STOCK_NDL_MSE.CM.BE,STOCK,N/A,0,N/A,NDL,1,,1,5,580.0,390.0,0.0,0.0,2.9,0.0,2.9,0,2.95,INE875G01048,BE
708,102266,STOCKS,NDL,STOCK_NDL_MSE.CM.EQ,STOCK,N/A,0,N/A,NDL,1,,1,5,485.0,325.0,0.0,0.0,2.9,0.0,2.9,0,2.95,INE875G01048,EQ
709,102189,STOCKS,FOSECOIND,STOCK_FOSECOIND_MSE.CM.EQ,STOCK,N/A,0,N/A,FOSECOIND,1,,1,5,547080.0,364720.0,0.0,0.0,4889.7,0.0,4889.7,0,4927.7,INE519A01011,EQ
710,104870,STOCKS,NATCOPHARM,STOCK_NATCOPHARM_MSE.CM.BE,STOCK,N/A,0,N/A,NATCOPHARM,1,,1,5,130115.0,86745.0,0.0,0.0,906.1,0.0,906.1,0,893.05,INE987B01026,BE
711,102337,STOCKS,NATCOPHARM,STOCK_NATCOPHARM_MSE.CM.EQ,STOCK,N/A,0,N/A,NATCOPHARM,1,,1,5,105545.0,70365.0,0.0,0.0,906.1,0.0,906.1,0,893.05,INE987B01026,EQ
712,102433,STOCKS,HFCL,STOCK_HFCL_MSE.CM.EQ,STOCK,N/A,0,N/A,HFCL,1,,1,5,9450.0,7740.0,0.0,0.0,67.2,0.0,67.2,0,67.75,INE548A01028,EQ
713,104794,STOCKS,HFCL,STOCK_HFCL_MSE.CM.BE,STOCK,N/A,0,N/A,HFCL,1,,1,5,8670.0,7100.0,0.0,0.0,67.2,0.0,67.2,0,67.75,INE548A01028,BE
714,102342,STOCKS,NATIONALUM,STOCK_NATIONALUM_MSE.CM.EQ,STOCK,N/A,0,N/A,NATIONALUM,1,,1,5,20190.0,16520.0,0.0,0.0,330.8,0.0,330.8,0,330.3,INE139A01034,EQ
715,102935,STOCKS,RCF,STOCK_RCF_MSE.CM.EQ,STOCK,N/A,0,N/A,RCF,1,,1,5,18455.0,12305.0,0.0,0.0,147.4,0.0,147.4,0,149.2,INE027A01015,EQ
716,108358,STOCKS,HGS,STOCK_HGS_MSE.CM.BE,STOCK,N/A,0,N/A,HGS,1,,1,5,351395.0,234265.0,0.0,0.0,449.0,0.0,449.0,0,453.25,INE170I01016,BE
717,102435,STOCKS,HGS,STOCK_HGS_MSE.CM.EQ,STOCK,N/A,0,N/A,HGS,1,,1,5,63425.0,42285.0,0.0,0.0,449.0,0.0,449.0,0,453.25,INE170I01016,EQ
718,108182,STOCKS,RCOM,STOCK_RCOM_MSE.CM.BE,STOCK,N/A,0,N/A,RCOM,1,,1,5,165.0,155.0,0.0,0.0,1.1,0.0,1.1,0,1.1,INE330H01018,BE
719,102940,STOCKS,RCOM,STOCK_RCOM_MSE.CM.EQ,STOCK,N/A,0,N/A,RCOM,1,,1,5,260.0,240.0,0.0,0.0,1.1,0.0,1.1,0,1.1,INE330H01018,EQ
720,102351,STOCKS,NAUKRI,STOCK_NAUKRI_MSE.CM.EQ,STOCK,N/A,0,N/A,NAUKRI,1,,1,5,162085.0,132615.0,0.0,0.0,1343.2,0.0,1343.2,0,1367.7,INE663F01032,EQ
721,102194,STOCKS,FSL,STOCK_FSL_MSE.CM.EQ,STOCK,N/A,0,N/A,FSL,1,,1,5,46660.0,31110.0,0.0,0.0,336.7,0.0,336.7,0,340.55,INE684F01012,EQ
722,102943,STOCKS,RECLTD,STOCK_RECLTD_MSE.CM.EQ,STOCK,N/A,0,N/A,RECLTD,1,,1,5,44745.0,36615.0,0.0,0.0,381.0,0.0,381.0,0,380.65,INE020B01018,EQ
723,102437,STOCKS,HIKAL,STOCK_HIKAL_MSE.CM.EQ,STOCK,N/A,0,N/A,HIKAL,1,,1,5,45520.0,30350.0,0.0,0.0,225.2,0.0,225.2,0,226.95,INE475B01022,EQ
724,102948,STOCKS,REDINGTON,STOCK_REDINGTON_MSE.CM.EQ,STOCK,N/A,0,N/A,REDINGTON,1,,1,5,32010.0,21340.0,0.0,0.0,278.45,0.0,278.45,0,276.3,INE891D01026,EQ
725,108412,STOCKS,FCONSUMER,STOCK_FCONSUMER_MSE.CM.BE,STOCK,N/A,0,N/A,FCONSUMER,1,,1,5,45.0,45.0,0.0,0.0,0.4,0.0,0.4,0,0.45,INE220J01025,BE
726,102196,STOCKS,FCONSUMER,STOCK_FCONSUMER_MSE.CM.EQ,STOCK,N/A,0,N/A,FCONSUMER,1,,1,5,115.0,105.0,0.0,0.0,0.4,0.0,0.4,0,0.45,INE220J01025,EQ
727,104856,STOCKS,BIRLANU,STOCK_BIRLANU_MSE.CM.BE,STOCK,N/A,0,N/A,BIRLANU,1,,1,5,69910.0,46610.0,0.0,0.0,1753.3,0.0,1753.3,0,1741.1,INE557A01011,BE
728,102440,STOCKS,BIRLANU,STOCK_BIRLANU_MSE.CM.EQ,STOCK,N/A,0,N/A,BIRLANU,1,,1,5,280665.0,187115.0,0.0,0.0,1753.3,0.0,1753.3,0,1741.1,INE557A01011,EQ
729,102956,STOCKS,RELAXO,STOCK_RELAXO_MSE.CM.EQ,STOCK,N/A,0,N/A,RELAXO,1,,1,5,84000.0,56000.0,0.0,0.0,406.25,0.0,406.25,0,403.3,INE131B01039,EQ
730,102199,STOCKS,GABRIEL,STOCK_GABRIEL_MSE.CM.EQ,STOCK,N/A,0,N/A,GABRIEL,1,,1,5,78360.0,52240.0,0.0,0.0,1058.6,0.0,1058.6,0,1051.6,INE524A01029,EQ
731,108370,STOCKS,HIMATSEIDE,STOCK_HIMATSEIDE_MSE.CM.BE,STOCK,N/A,0,N/A,HIMATSEIDE,1,,1,5,31500.0,21000.0,0.0,0.0,112.7,0.0,112.7,0,114.6,INE049A01027,BE
732,102442,STOCKS,HIMATSEIDE,STOCK_HIMATSEIDE_MSE.CM.EQ,STOCK,N/A,0,N/A,HIMATSEIDE,1,,1,5,19480.0,12990.0,0.0,0.0,112.7,0.0,112.7,0,114.6,INE049A01027,EQ
733,102357,STOCKS,NAVINFLUOR,STOCK_NAVINFLUOR_MSE.CM.EQ,STOCK,N/A,0,N/A,NAVINFLUOR,1,,1,5,512925.0,341955.0,0.0,0.0,5937.5,0.0,5937.5,0,5903.0,INE048G01026,EQ
734,104871,STOCKS,NAVINFLUOR,STOCK_NAVINFLUOR_MSE.CM.BE,STOCK,N/A,0,N/A,NAVINFLUOR,1,,1,5,70670.0,47120.0,0.0,0.0,5937.5,0.0,5937.5,0,5903.0,INE048G01026,BE
735,102964,STOCKS,RELIANCE,STOCK_RELIANCE_MSE.CM.EQ,STOCK,N/A,0,N/A,RELIANCE,1,,1,5,164485.0,134585.0,0.0,0.0,1578.1,0.0,1578.1,0,1592.3,INE002A01018,EQ
736,102202,STOCKS,GAEL,STOCK_GAEL_MSE.CM.EQ,STOCK,N/A,0,N/A,GAEL,1,,1,5,13770.0,9180.0,0.0,0.0,137.35,0.0,137.35,0,137.7,INE036B01030,EQ
737,102970,STOCKS,RELIGARE,STOCK_RELIGARE_MSE.CM.EQ,STOCK,N/A,0,N/A,RELIGARE,1,,1,5,28505.0,19005.0,0.0,0.0,261.35,0.0,261.35,0,249.05,INE621H01010,EQ
738,102446,STOCKS,HINDALCO,STOCK_HINDALCO_MSE.CM.EQ,STOCK,N/A,0,N/A,HINDALCO,1,,1,5,67650.0,55350.0,0.0,0.0,931.7,0.0,931.7,0,925.7,INE038A01020,EQ
739,108242,STOCKS,RELINFRA,STOCK_RELINFRA_MSE.CM.BE,STOCK,N/A,0,N/A,RELINFRA,1,,1,5,35645.0,23765.0,0.0,0.0,156.3,0.0,156.3,0,164.55,INE036A01016,BE
740,102973,STOCKS,RELINFRA,STOCK_RELINFRA_MSE.CM.EQ,STOCK,N/A,0,N/A,RELINFRA,1,,1,5,35225.0,23485.0,0.0,0.0,156.3,0.0,156.3,0,164.55,INE036A01016,EQ
741,102204,STOCKS,GAIL,STOCK_GAIL_MSE.CM.EQ,STOCK,N/A,0,N/A,GAIL,1,,1,5,21245.0,17385.0,0.0,0.0,173.05,0.0,173.05,0,175.4,INE129A01019,EQ
742,108363,STOCKS,RENUKA,STOCK_RENUKA_MSE.CM.BE,STOCK,N/A,0,N/A,RENUKA,1,,1,5,3550.0,2370.0,0.0,0.0,26.05,0.0,26.05,0,26.35,INE087H01022,BE
743,102978,STOCKS,RENUKA,STOCK_RENUKA_MSE.CM.EQ,STOCK,N/A,0,N/A,RENUKA,1,,1,5,3910.0,2610.0,0.0,0.0,26.05,0.0,26.05,0,26.35,INE087H01022,EQ
744,102448,STOCKS,HINDCOPPER,STOCK_HINDCOPPER_MSE.CM.EQ,STOCK,N/A,0,N/A,HINDCOPPER,1,,1,5,26820.0,21950.0,0.0,0.0,552.6,0.0,552.6,0,541.9,INE531E01026,EQ
745,102981,STOCKS,REPRO,STOCK_REPRO_MSE.CM.EQ,STOCK,N/A,0,N/A,REPRO,1,,1,5,69350.0,46240.0,0.0,0.0,455.6,0.0,455.6,0,463.65,INE461B01014,EQ
746,107270,STOCKS,GALLANTT,STOCK_GALLANTT_MSE.CM.BE,STOCK,N/A,0,N/A,GALLANTT,1,,1,5,42125.0,28085.0,0.0,0.0,560.3,0.0,560.3,0,552.5,INE297H01019,BE
747,102207,STOCKS,GALLANTT,STOCK_GALLANTT_MSE.CM.EQ,STOCK,N/A,0,N/A,GALLANTT,1,,1,5,56190.0,37460.0,0.0,0.0,560.3,0.0,560.3,0,552.5,INE297H01019,EQ
748,102361,STOCKS,NAVNETEDUL,STOCK_NAVNETEDUL_MSE.CM.EQ,STOCK,N/A,0,N/A,NAVNETEDUL,1,,1,5,17120.0,11420.0,0.0,0.0,154.05,0.0,154.05,0,147.65,INE060A01024,EQ
749,102987,STOCKS,RESPONIND,STOCK_RESPONIND_MSE.CM.EQ,STOCK,N/A,0,N/A,RESPONIND,1,,1,5,23195.0,15465.0,0.0,0.0,196.4,0.0,196.4,0,197.7,INE688D01026,EQ
750,104880,STOCKS,RESPONIND,STOCK_RESPONIND_MSE.CM.BE,STOCK,N/A,0,N/A,RESPONIND,1,,1,5,8865.0,5915.0,0.0,0.0,196.4,0.0,196.4,0,197.7,INE688D01026,BE
751,102990,STOCKS,RICOAUTO,STOCK_RICOAUTO_MSE.CM.EQ,STOCK,N/A,0,N/A,RICOAUTO,1,,1,5,8570.0,5720.0,0.0,0.0,131.5,0.0,131.5,0,135.4,INE209B01025,EQ
752,104668,STOCKS,RICOAUTO,STOCK_RICOAUTO_MSE.CM.BE,STOCK,N/A,0,N/A,RICOAUTO,1,,1,5,1200.0,800.0,0.0,0.0,131.5,0.0,131.5,0,135.4,INE209B01025,BE
753,102993,STOCKS,RIIL,STOCK_RIIL_MSE.CM.EQ,STOCK,N/A,0,N/A,RIIL,1,,1,5,110015.0,73345.0,0.0,0.0,813.6,0.0,813.6,0,817.3,INE046A01015,EQ
754,102997,STOCKS,RGL,STOCK_RGL_MSE.CM.EQ,STOCK,N/A,0,N/A,RGL,1,,1,5,16310.0,10880.0,0.0,0.0,122.75,0.0,122.75,0,124.45,INE722H01024,EQ
