TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd01,Rsvd02,Rsvd03,Rsvd04
2026-01-06,2026-01-06,CM,MSE,STK,,,OFSS,EQ,,,,,,0.00,0.00,0.00,7593.00,0.00,7677.00,,7593.00,,,0,0.00,0,F1,1,,,,,
2026-01-06,2026-01-06,CM,MSE,STK,,,OIL,EQ,,,,,,0.00,0.00,0.00,425.55,0.00,419.90,,425.55,,,0,0.00,0,F1,1,,,,,
2026-01-06,2026-01-06,CM,MSE,STK,,,OILCOUNTUB,EQ,,,,,,0.00,0.00,0.00,59.00,0.00,60.90,,59.00,,,0,0.00,0,F1,1,,,,,
2026-01-06,2026-01-06,CM,MSE,STK,,,OKPLA,EQ,,,,,,0.00,0.00,0.00,7.80,0.00,7.85,,7.80,,,0,0.00,0,F1,1,,,,,
2026-01-06,2026-01-06,CM,MSE,STK,,,OLAELEC,EQ,,,,,,0.00,0.00,0.00,43.60,0.00,43.95,,43.60,,,0,0.00,0,F1,1,,,,,
2026-01-06,2026-01-06,CM,MSE,STK,,,OLECTRA,EQ,,,,,,0.00,0.00,0.00,1195.80,0.00,1240.50,,1195.80,,,0,0.00,0,F1,1,,,,,
2026-01-06,2026-01-06,CM,MSE,STK,,,OLYMPTX,EQ,,,,,,0.00,0.00,0.00,32.70,0.00,34.30,,32.70,,,0,0.00,0,F1,1,,,,,
2026-01-06,2026-01-06,CM,MSE,STK,,,OMAXAUTO,EQ,,,,,,0.00,0.00,0.00,103.35,0.00,103.00,,103.35,,,0,0.00,0,F1,1,,,,,
2026-01-06,2026-01-06,CM,MSE,STK,,,OMAXE,EQ,,,,,,0.00,0.00,0.00,78.90,0.00,80.90,,78.90,,,0,0.00,0,F1,1,,,,,
2026-01-06,2026-01-06,CM,MSE,STK,,,OMFREIGHT,EQ,,,,,,0.00,0.00,0.00,91.90,0.00,92.35,,91.90,,,0,0.00,0,F1,1,,,,,
2026-01-06,2026-01-06,CM,MSE,STK,,,OMINFRAL,EQ,,,,,,0.00,0.00,0.00,91.75,0.00,94.55,,91.75,,,0,0.00,0,F1,1,,,,,
2026-01-06,2026-01-06,CM,MSE,STK,,,OMKARCHEM,BZ,,,,,,0.00,0.00,0.00,5.90,0.00,6.15,,5.90,,,0,0.00,0,F1,1,,,,,
2026-01-06,2026-01-06,CM,MSE,STK,,,ONELIFECAP,BE,,,,,,0.00,0.00,0.00,16.60,0.00,16.00,,16.60,,,0,0.00,0,F1,1,,,,,
2026-01-06,2026-01-06,CM,MSE,STK,,,ONEPOINT,EQ,,,,,,0.00,0.00,0.00,54.20,0.00,53.25,,54.20,,,0,0.00,0,F1,1,,,,,
2026-01-06,2026-01-06,CM,MSE,STK,,,ONESOURCE,EQ,,,,,,0.00,0.00,0.00,1798.10,0.00,1796.70,,1798.10,,,0,0.00,0,F1,1,,,,,
2026-01-06,2026-01-06,CM,MSE,STK,,,ONGC,EQ,,,,,,0.00,0.00,0.00,241.90,0.00,238.10,,241.90,,,0,0.00,0,F1,1,,,,,
2026-01-06,2026-01-06,CM,MSE,STK,,,ONMOBILE,EQ,,,,,,0.00,0.00,0.00,59.50,0.00,58.70,,59.50,,,0,0.00,0,F1,1,,,,,
2026-01-06,2026-01-06,CM,MSE,STK,,,ONWARDTEC,EQ,,,,,,0.00,0.00,0.00,295.95,0.00,305.90,,295.95,,,0,0.00,0,F1,1,,,,,
2026-01-06,2026-01-06,CM,MSE,STK,,,OPTIEMUS,EQ,,,,,,0.00,0.00,0.00,503.75,0.00,511.00,,503.75,,,0,0.00,0,F1,1,,,,,
2026-01-06,2026-01-06,CM,MSE,STK,,,OPTIFIN,EQ,,,,,,0.00,0.00,0.00,16.55,0.00,16.90,,16.55,,,0,0.00,0,F1,1,,,,,
2026-01-06,2026-01-06,CM,MSE,STK,,,ORBTEXP,EQ,,,,,,0.00,0.00,0.00,190.55,0.00,195.05,,190.55,,,0,0.00,0,F1,1,,,,,
2026-01-06,2026-01-06,CM,MSE,STK,,,ORCHPHARMA,EQ,,,,,,0.00,0.00,0.00,781.50,0.00,785.20,,781.50,,,0,0.00,0,F1,1,,,,,
2026-01-06,2026-01-06,CM,MSE,STK,,,ORICONENT,BE,,,,,,0.00,0.00,0.00,59.00,0.00,60.00,,59.00,,,0,0.00,0,F1,1,,,,,
2026-01-06,2026-01-06,CM,MSE,STK,,,ORIENTALTL,EQ,,,,,,0.00,0.00,0.00,8.05,0.00,8.20,,8.05,,,0,0.00,0,F1,1,,,,,
2026-01-06,2026-01-06,CM,MSE,STK,,,ORIENTBELL,EQ,,,,,,0.00,0.00,0.00,289.75,0.00,291.50,,289.75,,,0,0.00,0,F1,1,,,,,
